State,District,Population,Area (in km^2),Latitude,Longitude
Andhra Pradesh,Anantapur,4083315,19130,14.70,77.60
Andhra Pradesh,Chittoor,4170468,15152,14.47,78.82
Andhra Pradesh,East Godavari,5151549,10807,16.95,82.25
Andhra Pradesh,Guntur,4889230,11391,16.30,80.45
Andhra Pradesh,Kadapa,2884524,15359,14.47,78.82
Andhra Pradesh,Krishna,4529009,8727,16.28,81.22
Andhra Pradesh,Kurnool,4046601,17658,15.80,77.97
Andhra Pradesh,Prakasam,3392764,17626,15.33,79.55
Andhra Pradesh,Sri Potti Sriramulu Nellore,2966082,13076,14.43,80.00
Andhra Pradesh,Srikakulam,2699471,5837,18.42,84.02
Andhra Pradesh,Visakhapatnam,4288113,11161,17.70,83.28
Andhra Pradesh,Vizianagaram,2342868,6539,18.20,83.40
Andhra Pradesh,West Godavari,3934782,7742,16.12,81.02
Telangana,Adilabad,708952,4185.97,19.67,78.52
Telangana,Komaram Bheem,515835,4300.16,0.00,0.00
Telangana,Bhadradri Kothagudem,1304811,8951,0.00,0.00
Telangana,Hyderabad,3441992,4325.29,17.37,78.48
Telangana,Jagtial,983414,3043.23,18.80,78.93
Telangana,Jangaon,582457,2187.5,17.72,79.18
Telangana,Jayashankar Bhupalpally,712257,6361.7,0.00,0.00
Telangana,Jogulamba Gadwal,664971,2928,0.00,0.00
Telangana,Kamareddy,972625,3651,18.32,78.33
Telangana,Karimnagar,1016063,2379.07,18.43,79.12
Telangana,Khammam,1401639,4453,17.25,80.17
Telangana,Mahabubabad,770170,2876.7,17.62,80.02
Telangana,Mahbubnagar,1318110,4037,16.75,78.00
Telangana,Mancherial,807037,4056.36,18.87,79.43
Telangana,Medak,767428,2740.89,18.03,78.25
Telangana,Medchal-Malkajgiri,2542203,5005.98,0.00,0.00
Telangana,Mulugu,294671,3881,18.18,79.93
Telangana,Nalgonda,1631399,2449.79,17.05,79.27
Telangana,Narayanpet,566874,2336.44,16.73,77.50
Telangana,Nagarkurnool,893308,6545,16.48,78.33
Telangana,Nirmal,709415,3562.51,19.10,78.35
Telangana,Nizamabad,1534428,4153,18.68,78.10
Telangana,Peddapalli,795332,4614.74,18.60,79.38
Telangana,Rajanna Sircilla,546121,2030.89,0.00,0.00
Telangana,Ranga Reddy,2551731,1038,17.30,78.10
Telangana,Sangareddy,1527628,4464.87,17.62,78.08
Telangana,Siddipet,993376,3425.19,18.10,78.85
Telangana,Suryapet,1099560,3374.47,17.13,79.62
Telangana,Vikarabad,881250,3385,17.33,77.90
Telangana,Wanaparthy,751553,2938,16.35,78.05
Telangana,Warangal Urban,1135707,1304.5,17.95,79.50
Telangana,Warangal Rural,716457,2175.5,0.00,0.00
Telangana,Yadadri Bhuvanagiri,726465,3091.48,0.00,0.00
