SUBDIVISION,YEAR,month,date,rainfall_mm,rainfall_zscore,extreme_precipitation_event,district,subdivision,population,area_sq_km,population_density,exposure_deficit_Dd,healthcare_deficit_Hd,mobility_access_deficit_Md,housing_vulnerability_Vd,month_sin,month_cos,is_monsoon,rainfall_lag_1,rainfall_lag_2,rolling_3_month_rainfall,monsoon_cumulative_rainfall,historical_extreme_count,risk_target,Qd,risk_prediction,Dd,Hd,Md,Vd,Rd,Sd,ddrps,risk_contribution,exposure_contribution,healthcare_contribution,mobility_contribution,housing_contribution,population_contribution,road_contribution,shelter_contribution,priority_category
TELANGANA,1901,1,1901-01,6.9,-0.0578197431721535,0,Adilabad,TELANGANA,2741239,4185.97,654.8635083385691,0.3220943254304754,1.0,0.9060709767815518,0.6989220855949546,0.4999999999999999,0.8660254037844387,0,0.0,0.0,6.9,0.0,0,1,0.8476494260728207,1,0.3220943254304754,1.0,0.9060709767815518,0.6989220855949546,0.9060709767815518,0.6989220855949546,0.7406212642561931,0.3433533935103806,0.10872436987242741,0.2700435525577634,0.18350896907967973,0.09436970147757137,0.10872436987242741,0.18350896907967973,0.09436970147757137,PRIORITY_1_CRITICAL
TELANGANA,1901,2,1901-02,41.8,2.1092819435008208,1,Adilabad,TELANGANA,2741239,4185.97,654.8635083385691,0.3220943254304754,1.0,0.9060709767815518,0.6989220855949546,0.8660254037844386,0.5000000000000001,0,6.9,0.0,24.35,0.0,0,0,0.1143842926358571,0,0.3220943254304754,1.0,0.9060709767815518,0.6989220855949546,0.9060709767815518,0.6989220855949546,0.5206417242251042,0.06590959874131141,0.15466217182428893,0.38414131417580166,0.2610444718180631,0.134242424233469,0.15466217182428893,0.2610444718180631,0.134242424233469,PRIORITY_2_HIGH
TELANGANA,1901,3,1901-03,7.8,-0.2563533763652029,0,Adilabad,TELANGANA,2741239,4185.97,654.8635083385691,0.3220943254304754,1.0,0.9060709767815518,0.6989220855949546,1.0,6.123233995736766e-17,0,41.8,6.9,18.83333333333333,0.0,1,1,0.7676033705943126,1,0.3220943254304754,1.0,0.9060709767815518,0.6989220855949546,0.9060709767815518,0.6989220855949546,0.7166074476126407,0.32134889015175616,0.11236776913525444,0.27909282533326524,0.18965843164682594,0.09753206977825706,0.11236776913525444,0.18965843164682594,0.09753206977825706,PRIORITY_1_CRITICAL
TELANGANA,1901,4,1901-04,45.2,1.6957041300007862,1,Adilabad,TELANGANA,2741239,4185.97,654.8635083385691,0.3220943254304754,1.0,0.9060709767815518,0.6989220855949546,0.8660254037844387,-0.4999999999999998,0,7.8,41.8,31.6,0.0,1,0,0.2331943089455609,0,0.3220943254304754,1.0,0.9060709767815518,0.6989220855949546,0.9060709767815518,0.6989220855949546,0.5562847291180153,0.12575986318550916,0.14475245444498133,0.3595281084235715,0.24431848828482677,0.1256410676847058,0.14475245444498133,0.24431848828482677,0.1256410676847058,PRIORITY_2_HIGH
TELANGANA,1901,5,1901-05,22.0,-0.1427037559572514,0,Adilabad,TELANGANA,2741239,4185.97,654.8635083385691,0.3220943254304754,1.0,0.9060709767815518,0.6989220855949546,0.4999999999999999,-0.8660254037844387,0,45.2,7.8,25.0,0.0,2,0,0.3678426665954948,0,0.3220943254304754,1.0,0.9060709767815518,0.6989220855949546,0.9060709767815518,0.6989220855949546,0.5966792364129956,0.18494492751683037,0.134952877683773,0.3351884638226023,0.2277784041162398,0.1171353101011311,0.134952877683773,0.2277784041162398,0.1171353101011311,PRIORITY_2_HIGH
TELANGANA,1901,6,1901-06,123.6,-0.3209340444471497,0,Adilabad,TELANGANA,2741239,4185.97,654.8635083385691,0.3220943254304754,1.0,0.9060709767815518,0.6989220855949546,1.2246467991473532e-16,-1.0,1,22.0,45.2,63.6,123.6,2,0,0.2139843231564632,0,0.3220943254304754,1.0,0.9060709767815518,0.6989220855949546,0.9060709767815518,0.6989220855949546,0.550521733381286,0.11660810443680862,0.14626775840504633,0.36329173625660405,0.2468760737450153,0.12695630899193894,0.14626775840504633,0.2468760737450153,0.12695630899193894,PRIORITY_2_HIGH
TELANGANA,1901,7,1901-07,237.8,-0.1009755445738879,0,Adilabad,TELANGANA,2741239,4185.97,654.8635083385691,0.3220943254304754,1.0,0.9060709767815518,0.6989220855949546,-0.4999999999999997,-0.8660254037844388,1,123.6,22.0,127.8,361.4,2,0,0.2445723791982352,0,0.3220943254304754,1.0,0.9060709767815518,0.6989220855949546,0.9060709767815518,0.6989220855949546,0.5596981501938176,0.13109157574157954,0.14386965526156878,0.35733546083257106,0.24282846752644013,0.12487482277106737,0.14386965526156878,0.24282846752644013,0.12487482277106737,PRIORITY_2_HIGH
TELANGANA,1901,8,1901-08,177.2,-0.4337730722048289,0,Adilabad,TELANGANA,2741239,4185.97,654.8635083385691,0.3220943254304754,1.0,0.9060709767815518,0.6989220855949546,-0.8660254037844385,-0.5000000000000004,1,237.8,123.6,179.53333333333333,538.5999999999999,2,0,0.2942426381805103,0,0.3220943254304754,1.0,0.9060709767815518,0.6989220855949546,0.9060709767815518,0.6989220855949546,0.5745992278885002,0.15362497134269126,0.1401386845787016,0.3480686830267074,0.23653119871280778,0.12163644493565774,0.1401386845787016,0.23653119871280778,0.12163644493565774,PRIORITY_2_HIGH
TELANGANA,1901,9,1901-09,77.7,-1.2867319812288531,0,Adilabad,TELANGANA,2741239,4185.97,654.8635083385691,0.3220943254304754,1.0,0.9060709767815518,0.6989220855949546,-1.0,-1.8369701987210292e-16,1,177.2,237.8,164.23333333333332,616.3,2,0,0.1482790235812274,0,0.3220943254304754,1.0,0.9060709767815518,0.6989220855949546,0.9060709767815518,0.6989220855949546,0.5308101435087154,0.08380342158175737,0.15169939916436948,0.37678254396223826,0.2560437957315774,0.13167082072093012,0.15169939916436948,0.2560437957315774,0.13167082072093012,PRIORITY_2_HIGH
TELANGANA,1901,10,1901-10,75.5,0.0212585864112182,0,Adilabad,TELANGANA,2741239,4185.97,654.8635083385691,0.3220943254304754,1.0,0.9060709767815518,0.6989220855949546,-0.8660254037844386,0.5000000000000001,1,77.7,177.2,110.13333333333333,691.8,2,0,0.2318232800350743,0,0.3220943254304754,1.0,0.9060709767815518,0.6989220855949546,0.9060709767815518,0.6989220855949546,0.5558734204448694,0.12511298472183377,0.14485956145300063,0.3597941348625686,0.24449926741140063,0.1257340335614894,0.14485956145300063,0.24449926741140063,0.1257340335614894,PRIORITY_2_HIGH
