district,subdivision,forecast_period,Qd,Dd,Hd,Md,Vd,ddrps,priority_rank,risk_rank,rank_change,priority_category
Nalgonda,TELANGANA,2015-09,0.4859174589224815,0.8777778172497267,0.9999999999999996,0.6490625295319364,0.7025628162567175,0.7328353530446383,1,15,14,PRIORITY_1_CRITICAL
Karimnagar,TELANGANA,2015-09,0.4859174589224815,1.0,0.9999999999999996,0.457362498667896,0.5568403034184818,0.720063642818777,2,15,13,PRIORITY_1_CRITICAL
Mahbubnagar,TELANGANA,2015-09,0.4859174589224815,0.585474206369263,1.0,0.9680462812469388,0.7855263157050548,0.7159033630266065,3,15,12,PRIORITY_1_CRITICAL
Medak,TELANGANA,2015-09,0.4859174589224815,0.6442261277841768,0.9999999999999996,0.5893401594862919,0.4513188853751964,0.6403646820832519,4,15,11,PRIORITY_2_HIGH
Adilabad,TELANGANA,2015-09,0.4859174589224815,0.3220943254304754,1.0,0.9060709767815518,0.6989220855949546,0.6321016741110914,5,15,10,PRIORITY_2_HIGH
Warangal,TELANGANA,2015-09,0.4859174589224815,0.1759223499461932,1.0,0.6260251861484203,1.0,0.5836596030855558,6,15,9,PRIORITY_2_HIGH
Khammam,TELANGANA,2015-09,0.4859174589224815,0.3039984210877515,1.0,0.6103319491274538,0.5965092389287531,0.5729755592106757,7,15,8,PRIORITY_2_HIGH
Srikakulam,COASTAL ANDHRA PRADESH,2015-09,0.4877962743373078,0.187315111236271,0.9999999999999996,0.980358478114248,0.3221142029316864,0.5724328521205658,8,1,-7,PRIORITY_2_HIGH
Nizamabad,TELANGANA,2015-09,0.4859174589224815,0.2915880165524061,0.9999999999999996,0.6158043293150139,0.4614926249932128,0.5571921537114192,9,15,6,PRIORITY_2_HIGH
Y.S.R.,COASTAL ANDHRA PRADESH,2015-09,0.4877962743373078,0.116396806696352,0.9999999999999996,1.0,0.1731841200970778,0.542756495984988,10,1,-9,PRIORITY_2_HIGH
Vizianagaram,COASTAL ANDHRA PRADESH,2015-09,0.4877962743373078,0.1116465244852607,0.9999999999999996,0.9036847963083258,0.3134242281381086,0.5411456556825671,11,1,-10,PRIORITY_2_HIGH
Sri Potti Sriramulu Nellore,COASTAL ANDHRA PRADESH,2015-09,0.4877962743373078,0.0226434161761992,1.0,0.9398437248887344,0.4240676916962209,0.5353830642481744,12,1,-11,PRIORITY_2_HIGH
Prakasam,COASTAL ANDHRA PRADESH,2015-09,0.4877962743373078,0.0,0.9999999999999996,0.904005749495711,0.4222565017471678,0.5241653949002657,13,1,-12,PRIORITY_2_HIGH
Chittoor,COASTAL ANDHRA PRADESH,2015-09,0.4877962743373078,0.0615343462664663,1.0,0.8720702938879413,0.3090399957449055,0.5234370125254907,14,1,-13,PRIORITY_2_HIGH
Guntur,COASTAL ANDHRA PRADESH,2015-09,0.4877962743373078,0.1755149608098173,0.9193233660944068,0.6842988320058412,0.4009019306639863,0.5168173135898029,15,1,-14,PRIORITY_2_HIGH
Krishna,COASTAL ANDHRA PRADESH,2015-09,0.4877962743373078,0.2380956004408513,0.9999999999999996,0.4743075662620074,0.3914491099680016,0.5161538283475063,16,1,-15,PRIORITY_2_HIGH
Kurnool,COASTAL ANDHRA PRADESH,2015-09,0.4877962743373078,0.0280976772851594,0.9999999999999996,0.7914026464353993,0.2828457967135505,0.500358278259147,17,1,-16,PRIORITY_2_HIGH
Anantapur,COASTAL ANDHRA PRADESH,2015-09,0.4877962743373078,0.0164947629642364,0.9033771134984564,0.9540772297487966,0.2228412594477602,0.4965337061490382,18,1,-17,PRIORITY_3_MEDIUM
West Godavari,COASTAL ANDHRA PRADESH,2015-09,0.4877962743373078,0.2281807820608949,0.9999999999999996,0.2200523276784571,0.5653989280407812,0.4929318197722627,19,1,-18,PRIORITY_3_MEDIUM
Rangareddy,COASTAL ANDHRA PRADESH,2015-09,0.4877962743373078,0.3477936185591579,0.9999999999999992,0.3596838216341672,0.025691321393034,0.48980899232541014,20,1,-19,PRIORITY_3_MEDIUM
Visakhapatnam,COASTAL ANDHRA PRADESH,2015-09,0.4877962743373078,0.1406004950054748,0.9080936673263272,0.672085238999374,0.1951639852479102,0.48343692389252363,21,1,-20,PRIORITY_3_MEDIUM
East Godavari,COASTAL ANDHRA PRADESH,2015-09,0.4877962743373078,0.2115733227156046,1.0,0.207330059422946,0.4172396945443948,0.47205569134797487,22,1,-21,PRIORITY_3_MEDIUM
Hyderabad,TELANGANA,2015-09,0.4859174589224815,0.5178729524560812,0.0,0.0,0.0,0.27524347579076475,23,15,-8,PRIORITY_4_LOW
