district,ddrps_old,rank_old,category_old,ddrps_new,rank_new,category_new,rank_shift
Karimnagar,0.720063642818777,2,PRIORITY_1_CRITICAL,0.8146338415592033,1,PRIORITY_1_CRITICAL,1
Nalgonda,0.7328353530446383,1,PRIORITY_1_CRITICAL,0.8037067770500435,2,PRIORITY_1_CRITICAL,-1
Mahbubnagar,0.7159033630266065,3,PRIORITY_1_CRITICAL,0.6712946087581455,3,PRIORITY_2_HIGH,0
Medak,0.6403646820832519,4,PRIORITY_2_HIGH,0.5693868634814356,4,PRIORITY_2_HIGH,0
Warangal,0.5836596030855558,6,PRIORITY_2_HIGH,0.5169243848990146,5,PRIORITY_2_HIGH,1
Adilabad,0.6321016741110914,5,PRIORITY_2_HIGH,0.4848342820150692,6,PRIORITY_3_MEDIUM,-1
Khammam,0.5729755592106757,7,PRIORITY_2_HIGH,0.4310776180746928,7,PRIORITY_3_MEDIUM,0
West Godavari,0.4929318197722627,19,PRIORITY_3_MEDIUM,0.3713626455731767,8,PRIORITY_3_MEDIUM,11
Nizamabad,0.5571921537114192,9,PRIORITY_2_HIGH,0.3706359283759483,9,PRIORITY_3_MEDIUM,0
Krishna,0.5161538283475063,16,PRIORITY_2_HIGH,0.3108060798042908,10,PRIORITY_3_MEDIUM,6
East Godavari,0.47205569134797487,22,PRIORITY_3_MEDIUM,0.3031347958588654,11,PRIORITY_3_MEDIUM,11
Hyderabad,0.27524347579076475,23,PRIORITY_4_LOW,0.3028779462557426,12,PRIORITY_3_MEDIUM,11
Guntur,0.5168173135898029,15,PRIORITY_2_HIGH,0.279766548956524,13,PRIORITY_4_LOW,2
Srikakulam,0.5724328521205658,8,PRIORITY_2_HIGH,0.2590863900959318,14,PRIORITY_4_LOW,-6
Rangareddy,0.48980899232541014,20,PRIORITY_3_MEDIUM,0.22832739678835173,15,PRIORITY_4_LOW,5
Vizianagaram,0.5411456556825671,11,PRIORITY_2_HIGH,0.21134282868316584,16,PRIORITY_4_LOW,-5
Sri Potti Sriramulu Nellore,0.5353830642481744,12,PRIORITY_2_HIGH,0.2041702404724651,17,PRIORITY_4_LOW,-5
Prakasam,0.5241653949002657,13,PRIORITY_2_HIGH,0.19006990641076016,18,PRIORITY_4_LOW,-5
Chittoor,0.5234370125254907,14,PRIORITY_2_HIGH,0.18045193870902174,19,PRIORITY_4_LOW,-5
Visakhapatnam,0.48343692389252363,21,PRIORITY_3_MEDIUM,0.17814322617045697,20,PRIORITY_4_LOW,1
Y.S.R.,0.542756495984988,10,PRIORITY_2_HIGH,0.15959924562533734,21,PRIORITY_4_LOW,-11
Kurnool,0.500358278259147,17,PRIORITY_2_HIGH,0.15006769008055193,22,PRIORITY_4_LOW,-5
Anantapur,0.4965337061490382,18,PRIORITY_3_MEDIUM,0.12031889128578925,23,PRIORITY_4_LOW,-5
