district,subdivision,Qd,risk_rank,ddrps,priority_rank,rank_change,priority_category
Nalgonda,TELANGANA,0.4859174589224815,15,0.7328353530446383,1,14,PRIORITY_1_CRITICAL
Karimnagar,TELANGANA,0.4859174589224815,15,0.720063642818777,2,13,PRIORITY_1_CRITICAL
Mahbubnagar,TELANGANA,0.4859174589224815,15,0.7159033630266065,3,12,PRIORITY_1_CRITICAL
Medak,TELANGANA,0.4859174589224815,15,0.6403646820832519,4,11,PRIORITY_2_HIGH
Adilabad,TELANGANA,0.4859174589224815,15,0.6321016741110914,5,10,PRIORITY_2_HIGH
Warangal,TELANGANA,0.4859174589224815,15,0.5836596030855558,6,9,PRIORITY_2_HIGH
Khammam,TELANGANA,0.4859174589224815,15,0.5729755592106757,7,8,PRIORITY_2_HIGH
Srikakulam,COASTAL ANDHRA PRADESH,0.4877962743373078,1,0.5724328521205658,8,-7,PRIORITY_2_HIGH
Nizamabad,TELANGANA,0.4859174589224815,15,0.5571921537114192,9,6,PRIORITY_2_HIGH
Y.S.R.,COASTAL ANDHRA PRADESH,0.4877962743373078,1,0.542756495984988,10,-9,PRIORITY_2_HIGH
Vizianagaram,COASTAL ANDHRA PRADESH,0.4877962743373078,1,0.5411456556825671,11,-10,PRIORITY_2_HIGH
Sri Potti Sriramulu Nellore,COASTAL ANDHRA PRADESH,0.4877962743373078,1,0.5353830642481744,12,-11,PRIORITY_2_HIGH
Prakasam,COASTAL ANDHRA PRADESH,0.4877962743373078,1,0.5241653949002657,13,-12,PRIORITY_2_HIGH
Chittoor,COASTAL ANDHRA PRADESH,0.4877962743373078,1,0.5234370125254907,14,-13,PRIORITY_2_HIGH
Guntur,COASTAL ANDHRA PRADESH,0.4877962743373078,1,0.5168173135898029,15,-14,PRIORITY_2_HIGH
Krishna,COASTAL ANDHRA PRADESH,0.4877962743373078,1,0.5161538283475063,16,-15,PRIORITY_2_HIGH
Kurnool,COASTAL ANDHRA PRADESH,0.4877962743373078,1,0.500358278259147,17,-16,PRIORITY_2_HIGH
Anantapur,COASTAL ANDHRA PRADESH,0.4877962743373078,1,0.4965337061490382,18,-17,PRIORITY_3_MEDIUM
West Godavari,COASTAL ANDHRA PRADESH,0.4877962743373078,1,0.4929318197722627,19,-18,PRIORITY_3_MEDIUM
Rangareddy,COASTAL ANDHRA PRADESH,0.4877962743373078,1,0.4898089923254101,20,-19,PRIORITY_3_MEDIUM
Visakhapatnam,COASTAL ANDHRA PRADESH,0.4877962743373078,1,0.4834369238925236,21,-20,PRIORITY_3_MEDIUM
East Godavari,COASTAL ANDHRA PRADESH,0.4877962743373078,1,0.4720556913479748,22,-21,PRIORITY_3_MEDIUM
Hyderabad,TELANGANA,0.4859174589224815,15,0.2752434757907647,23,-8,PRIORITY_4_LOW
