SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Flood
COASTAL ANDHRA PRADESH,1901,18.8,80.9,7.2,28.7,68.7,77.7,113,133.7,125.3,173.4,164.8,1.5,993.8,No
COASTAL ANDHRA PRADESH,1902,2,0,2.8,23.9,37.6,72.6,144.5,236.1,204.5,262,50.4,27.1,1063.6,No
COASTAL ANDHRA PRADESH,1903,0.8,13.3,0.2,6.2,73.4,154,248.6,258,216.5,159.1,173.9,12.1,1316.2,No
COASTAL ANDHRA PRADESH,1904,1.3,0,5.4,3,136.3,107.8,120.2,117.7,116.8,240.9,0,10.7,860.2,No
COASTAL ANDHRA PRADESH,1905,1.1,16.7,68,37,68.8,84.4,64.6,210.8,170.2,66,7.4,0,795.2,No
COASTAL ANDHRA PRADESH,1906,3.9,23.5,9.9,2.3,11,252.6,155.8,241.1,126.9,92.1,21.5,80.8,1021.5,No
COASTAL ANDHRA PRADESH,1907,0.6,3,38.9,80.9,18.9,224.5,119.7,118.2,94.7,37,52.4,29.1,817.9,No
COASTAL ANDHRA PRADESH,1908,54.1,1.3,1.7,7.2,40.9,57.2,120.9,162,320.9,73.9,2.1,0,842.3,No
COASTAL ANDHRA PRADESH,1909,1.3,1.3,0.2,112.2,34,109.7,154.2,193.1,169.8,13.4,3.1,75.2,867.6,No
COASTAL ANDHRA PRADESH,1910,0.9,2.4,0.2,31.9,22.6,179.6,222.2,204.5,216.8,286.4,87.2,0,1254.6,No
COASTAL ANDHRA PRADESH,1911,0,0,10.3,14.4,31.2,150.5,158.1,76.2,160.4,119.7,77.6,21,819.5,No
COASTAL ANDHRA PRADESH,1912,0,9.6,4.8,15.2,33.6,55.9,217.9,230.1,188.7,86.1,61.7,0,903.6,No
COASTAL ANDHRA PRADESH,1913,0,12.9,0.5,3.3,68.2,129,166.9,124.3,119.5,206.7,7.2,2.4,841,No
COASTAL ANDHRA PRADESH,1914,0,10.9,5.8,73,77.7,171.7,157.4,178.5,292.4,22.8,17.8,5.1,1013.2,No
COASTAL ANDHRA PRADESH,1915,21.1,17.9,53.3,44.8,63.5,177.3,134.8,226.5,170.5,228.8,208.8,0,1347.4,No
COASTAL ANDHRA PRADESH,1916,0.2,5.1,0.5,16.3,43.9,157.9,282.1,197.1,166.2,355.9,126,0.1,1351.2,No
COASTAL ANDHRA PRADESH,1917,1.1,25.1,14.9,16.4,105.5,201.4,142.4,215.8,219.6,216,126.5,5,1289.6,No
COASTAL ANDHRA PRADESH,1918,25.1,2.5,9.5,13,79.6,109.4,107.4,130.9,149.6,30.8,111.7,8.5,778,No
COASTAL ANDHRA PRADESH,1919,41.3,22.9,10.4,23.6,70,111.2,194.8,118.6,161.8,194.5,183.6,8.7,1141.4,No
COASTAL ANDHRA PRADESH,1920,9.6,23.8,4.7,25.1,78.4,83,71.6,124.9,113.6,176.5,12.2,0,723.5,No
COASTAL ANDHRA PRADESH,1921,52.3,0.1,0.1,35.3,11.2,97.6,204.6,168,228.7,192.6,24.7,0,1015,No
COASTAL ANDHRA PRADESH,1922,10.9,0,0,5.3,35.8,103.3,145.6,132.6,117.5,128,174,0.2,853.3,No
COASTAL ANDHRA PRADESH,1923,0.2,58.3,13.5,14.9,39.1,44.3,128.8,53.4,260.6,267.5,245.6,0.1,1126.4,No
COASTAL ANDHRA PRADESH,1924,3.7,6.2,0.6,8.8,66.1,66.2,111.6,197.6,349.8,131,240.3,0,1182,No
COASTAL ANDHRA PRADESH,1925,2.9,0.1,5.6,40.2,196.4,151.4,197.8,223.9,103.4,262.6,46.1,8.1,1238.5,No
COASTAL ANDHRA PRADESH,1926,13.7,7.7,78.7,57.1,36.4,72.4,191.4,173.3,162.8,76.7,0.5,0,870.7,No
COASTAL ANDHRA PRADESH,1927,14.1,8.4,18.5,6.3,40,196.4,172.4,197.2,157,66.1,176.5,0,1053,No
COASTAL ANDHRA PRADESH,1928,0,2.8,1.4,55.1,31,88.7,189,136.4,208.2,385.9,2.2,0.7,1101.3,No
COASTAL ANDHRA PRADESH,1929,2.7,37.4,1.5,19.7,41,190,78.3,138.4,146.3,173.1,5.3,25.4,859.1,No
COASTAL ANDHRA PRADESH,1930,0.5,32.4,6.6,23.2,117.3,189.6,112.4,133,136.7,284.1,181.9,5.1,1222.7,No
COASTAL ANDHRA PRADESH,1931,0.5,0.4,5.2,8.8,46.9,142.2,177.7,120.5,231.7,388.8,164,0.3,1287.1,No
COASTAL ANDHRA PRADESH,1932,0,53.2,0.1,20.8,47.2,79.6,203.3,122.3,147.8,117.2,180,0.1,971.5,No
COASTAL ANDHRA PRADESH,1933,4.1,0,6.8,23.3,88,106,187.1,135.6,193,251.3,67.3,24.8,1087.3,No
COASTAL ANDHRA PRADESH,1934,0,0.2,0.6,19.9,21.7,100.5,202.2,207.5,131.5,116.2,80.6,3.2,884.2,No
COASTAL ANDHRA PRADESH,1935,1.2,0.1,4.2,24.7,10.5,94.6,158.9,122.6,191.8,141,1.6,0,751.1,No
COASTAL ANDHRA PRADESH,1936,8.7,127.1,5.8,22.4,145.2,162.7,211.9,188.3,123.9,233.4,91.2,8.1,1328.7,No
