,name,city,district,category,latitude,longitude,url,id,state,helpline
133,Gandhi Medical College,Secunderabad,Secunderabad,government,17.424916,78.50437,https://goo.gl/maps/Z3Qy61VntG2Dq5Hn8,21,Telangana,040 2750 2742
134,Osmania Medical College,Hyderabad,Hyderabad,government,17.3822,78.482848,https://goo.gl/maps/Bsan9NUjDcVyFUfV7,21,Telangana,040 2465 3992
135,"Sir Ronald Ross of Tropical & Communicable Diseases, Hyderabad",Hyderabad,Hyderabad,government,17.445528,78.472241,https://goo.gl/maps/Taazo2UQH5s34ste6,21,Telangana,040 2768 2218
136,"Nizam’s Institute of Medical Sciences, Hyderabad",Hyderabad,Hyderabad,government,17.42193,78.452006,https://goo.gl/maps/wuF9xdYKjtc5aWtf7,21,Telangana,040 2348 9000
137,"Institute of Preventive Medicine, Hyderabad",Hyderabad,Hyderabad,government,17.394057,78.490283,https://goo.gl/maps/Bp7dJ9dKJnwEtUFLA,21,Telangana,040-29569043
138,"Laboratory Services, Apollo Hospitals",Hyderabad,Hyderabad,private,17.414876,78.412348,https://g.page/apollo-hospitals-hyderabad?share,21,Telangana,1860 500 1066
139,Vijaya Diagnostic Centre Pvt Ltd,Hyderabad,Hyderabad,private,17.404162,78.479876,https://goo.gl/maps/4R23G2z6pFd4CNPJ6,21,Telangana,040 2342 0422
140,Vimta Labs Ltd,Hyderabad,Hyderabad,private,17.47064,78.602305,https://goo.gl/maps/GFN9X6VJDZeR6QKq7,21,Telangana,040 2726 4141
141,"Apollo Health and Lifestyle Limited, Diagnostic Labortory",Secunderabad,Secunderabad,private,17.469123,78.48433,https://goo.gl/maps/eFPK1JRehvVKHf6z5,21,Telangana,091009 11393
142,Dr. Remedies Labs Private Ltd,Hyderabad,Hyderabad,private,17.424495,78.453049,https://goo.gl/maps/rDwkxgRkCwHVxNtF9,21,Telangana,040 2335 0611
143,Pathcare Labs Pvt Ltd,Hyderabad,Hyderabad,private,17.444745,78.469191,https://goo.gl/maps/tNErfYoCmJu1f7Xk7,21,Telangana,088860 91717
144,"American Institute of Pathology And Lab Sciences Pvt Ltd, Citizens Hospital",Hyderabad,Hyderabad,private,17.470604,78.3114,https://g.page/CitizensHospital?share,21,Telangana,040 6719 1919
155,Sri Venkateswara Institute of Medical Sciences,Tirupati,Tirupati,government,13.638115,79.403965,https://goo.gl/maps/sr2BptzaZ3PZUvSq7,27,Andhra Pradesh,0877 228 7777
156,Andhra Medical College,Visakhapatnam,Visakhapatnam,government,17.706495,83.30484,https://goo.gl/maps/D7sFJ2NiH1A5mgU99,27,Andhra Pradesh,089127 12258
157,Government Medical College,Anantapur,Anantapur,government,14.671293,77.592895,https://goo.gl/maps/KxHBYpDojhf96ciu9,27,Andhra Pradesh,044-25333319
158,Sidhartha Medical College,Vijayawada,Vijayawada,government,16.517449,80.671302,https://goo.gl/maps/T1UYqedvBRb4bz3V7,27,Andhra Pradesh,0866 245 0390
159,Rangaraya Medical College,Kakinada,Kakinada,government,16.979127,82.237259,https://goo.gl/maps/UQNVrtpQWdQrDr7u7,27,Andhra Pradesh,0884 236 3401
160,Guntur Medical College,Guntur,Guntur,other,16.298177,80.438256,https://goo.gl/maps/FEi3p69qWo7yRLvt8,27,Andhra Pradesh,0863 223 4625
